UID          PID    PPID  C STIME TTY          TIME CMD
kali         847     764  0 01:39 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
kali         860     737  0 01:39 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
kali         865     860  0 01:39 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
kali         869     737  0 01:39 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
kali         874     737  0 01:39 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
kali         885     737  0 01:39 ?        00:00:00 /usr/bin/gpg-agent --supervised
kali         887     764  1 01:39 ?        00:08:30 xfwm4
kali         890     737  0 01:39 ?        00:00:00 /usr/libexec/gvfsd
kali         895     737  0 01:39 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
kali         910     764  0 01:39 ?        00:00:01 xfsettingsd
root         913       1  0 01:39 ?        00:00:04 /usr/libexec/upowerd
kali         922     764  0 01:39 ?        00:00:07 xfce4-panel
kali         926     764  0 01:39 ?        00:00:00 Thunar --daemon
kali         931     764  0 01:39 ?        00:00:15 xfdesktop
kali         932     922  0 01:39 ?        00:00:03 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 27262983 whiskermenu Whisker Menu Show a menu to easily access installed applications
kali         937     922  0 01:39 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 16 27262985 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
kali         938     922  0 01:39 ?        00:00:59 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 17 27262986 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
kali         939     922  0 01:39 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 18 27262987 notification-plugin Notification Plugin Notification plugin for the Xfce panel
kali         940     922  0 01:39 ?        00:00:09 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 19 27262988 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
kali         941     922  0 01:39 ?        00:00:01 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 21 27262989 actions Action Buttons Log out, lock or other system actions
kali         956     737  0 01:39 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
kali         958     764  0 01:39 ?        00:00:00 xfce4-power-manager
kali         960     764  0 01:39 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
kali         961     764  0 01:39 ?        00:00:01 nm-applet
kali         967     764  0 01:39 ?        00:00:00 xiccd
kali         969     764  0 01:39 ?        00:00:01 light-locker
kali         977       1  0 01:39 ?        00:00:00 xcape -e Super_L Control_L Escape
colord       982       1  0 01:39 ?        00:00:00 /usr/libexec/colord
kali         983     764  0 01:39 ?        00:00:01 /usr/bin/python3 /usr/bin/blueman-applet
kali         987     764  0 01:39 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kali        1000     737  0 01:39 ?        00:00:00 /usr/libexec/dconf-service
kali        1039     737  0 01:39 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1043       1  0 01:39 ?        00:00:00 /usr/libexec/udisks2/udisksd
kali        1064     737  0 01:39 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
